Country,Year,PIB anual (M€)
Islas Salomón,2011,765
Seychelles,2011,731
Sudán,2011,47746
Sweden,2011,410288
Singapore,2011,200729
Eslovenia,2011,36782
Eslovaquia,2011,71630
Sierra Leona,2011,3448
San Marino,2011,1303
Senegal,2011,12798
Somalia,2011,3609
Surinam,2011,3402
Sudán del Sur,2011,12459
Santo Tomé y Príncipe,2011,164
El Salvador,2011,14575
Siria,2011,48521
Eswatini,2011,3366
Chad,2011,11987
Togo,2011,3895
Thailand,2011,266448
Tayikistán,2011,4687
Timor Oriental,2011,749
Turkmenistán,2011,19958
Túnez,2011,34578
Tonga,2011,298
Türkiye,2011,604836
Trinidad y Tobago,2011,18530
Tuvalu,2011,29
Taiwan,2011,347755
Tanzania,2011,24696
Ucrania,2011,117384
Uganda,2011,19761
Uruguay,2011,37618
Uzbekistán,2011,48461
San Vicente y las Granadinas,2011,513
Venezuela,2011,227405
Viet Nam,2011,123134
Vanuatu,2011,586
Samoa,2011,535
Yemen,2011,23515
RSA,2011,329600
Zambia,2011,16853
Zimbabue,2011,14467
