Country,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,Year
Serbia,16939,45.98,2347,2011
Rusia,152060,10.34,1063,2011
Ruanda,926,18.94,91,2011
Saudi Arabia,25963,5.31,1035,2011
Islas Salomón,138,18.1,237,2011
Seychelles,604,82.51,6560,2011
Sudán,37296,78.11,1142,2011
Sweden,157124,37.8,16569,2011
Singapore,209758,103.13,40463,2011
Eslovenia,17220,46.8,8377,2011
Eslovaquia,30994,43.3,5735,2011
Sierra Leona,889,25.77,139,2011
San Marino,217,16.62,6502,2011
Senegal,4208,32.88,323,2011
Surinam,638,18.74,1179,2011
Sudán del Sur,0,0.0,0,2011
Santo Tomé y Príncipe,141,86.02,757,2011
El Salvador,9561,65.6,1570,2011
Siria,12083,31.21,573,2009
Eswatini,509,14.59,493,2011
Chad,2676,22.32,216,2011
Togo,1440,36.98,208,2011
Thailand,104825,39.12,1519,2011
Tayikistán,1664,35.51,213,2011
Timor Oriental,0,0.0,0,2011
Turkmenistán,2945,14.76,549,2011
Túnez,14985,43.34,1377,2011
Tonga,155,51.85,1503,2011
Türkiye,210712,34.77,2820,2011
Trinidad y Tobago,7031,39.23,5263,2011
Tuvalu,5,19.09,481,2011
Taiwan,133338,38.34,5741,2011
Tanzania,7021,28.43,159,2011
Ucrania,43205,35.53,951,2011
Uganda,3549,17.96,113,2011
Uruguay,15521,41.26,4548,2011
Uzbekistán,2739,5.65,94,2011
San Vicente y las Granadinas,328,63.99,3012,2011
Venezuela,64973,52.48,2226,2011
Viet Nam,44557,36.19,507,2011
Vanuatu,113,19.25,461,2011
Samoa,222,41.53,1188,2011
Yemen,10752,45.73,390,2011
RSA,114510,34.74,2190,2011
Zambia,3507,20.81,243,2011
Zimbabue,3617,30.02,290,2011
