Países,Densidad,Población,Población.1,Var.,Año
Jordania [+],78.0,6.931.000,,"2,23%",2010
Kenia [+],67.0,38.600.000,,"2,39%",2010
Kirguistán [+],27.0,5.418.000,,"1,31%",2010
Camboya [+],80.0,14.501.000,,"1,57%",2010
Kiribati [+],127.0,103.000,,"1,98%",2010
Comoras [+],352.0,656.000,,"2,18%",2010
San Cristóbal y Nieves [+],181.0,47.000,,0,2010
Corea del Norte [+],207.0,24.987.258,,"0,44%",2010
Corea del Sur [+],495.0,49.554.000,,"0,50%",2010
Kuwait [+],165.0,2.933.000,,"5,58%",2010
Kazajistán [+],6.0,16.322.000,,"1,42%",2010
Laos [+],27.0,6.323.000,,"1,49%",2010
Líbano [+],478.0,4.996.000,,"0,91%",2010
Santa Lucía [+],276.0,171.000,,"0,59%",2010
Liechtenstein [+],226.0,36.149,,"0,71%",2010
Sri Lanka [+],309.0,20.262.000,,"0,69%",2010
Liberia [+],35.0,3.891.000,,"3,65%",2010
Lesoto [+],66.0,1.996.000,,"0,76%",2010
Lituania [+],47.0,3.052.588,,"-2,84%",2010
Luxemburgo [+],198.0,511.840,,"1,95%",2010
Letonia [+],32.0,2.074.605,,"-2,16%",2010
Libia [+],4.0,6.498.000,,"2,06%",2010
Marruecos [+],72.0,32.182.000,,"1,25%",2010
Mónaco [+],443.0,33.163,,"2,47%",2010
Moldavia [+],105.0,3.560.430,,"-0,09%",2010
Montenegro [+],45.0,619.850,,"0,14%",2010
Madagascar [+],35.0,20.262.000,,"3,01%",2010
Islas Marshall [+],294.0,53.000,,"1,92%",2010
Macedonia del Norte [+],80.0,2.057.284,,"0,22%",2010
Malí [+],13.0,15.945.000,,"3,30%",2010
Myanmar [+],73.0,49.085.000,,"0,70%",2010
Mongolia [+],2.0,2.761.000,,"1,66%",2010
Mauritania [+],3.0,3.285.000,,"2,59%",2010
Malta [+],1.297,414.989,,"0,23%",2010
Mauricio [+],613.0,1.250.000,,"0,24%",2010
Maldivas [+],1.067,320.000,,"1,59%",2010
Malaui [+],133.0,15.714.000,,"2,88%",2010
México [+],58.0,114.756.000,,"1,53%",2010
Malasia [+],86.0,28.589.000,,"1,81%",2010
Mozambique [+],29.0,23.532.000,,"2,78%",2010
Namibia [+],3.0,2.093.000,,"1,50%",2010
Níger [+],13.0,16.464.000,,"3,92%",2010
Nigeria [+],180.0,166.643.000,,"2,93%",2010
Nicaragua [+],45.0,5.816.000,,"1,29%",2010
Países Bajos [+],401.0,16.655.799,,"0,49%",2010
Noruega [+],13.0,4.920.305,,"1,28%",2010
Nepal [+],186.0,27.342.000,,"0,62%",2010
Nauru [+],500.0,10.000,,0,2010
Nueva Zelanda [+],16.0,4.353.000,,"1,11%",2010
Omán [+],10.0,2.998.000,,"3,99%",2010
Panamá [+],49.0,3.662.000,,"1,72%",2010
Perú [+],22.0,28.692.915,,"0,73%",2010
Papúa Nueva Guinea [+],15.0,6.738.000,,"6,29%",2010
Filipinas [+],310.0,93.140.000,,"1,73%",2010
Pakistán [+],217.0,172.860.000,,"2,47%",2010
Polonia [+],122.0,38.062.718,,"0,10%",2010
Estado de Palestina [+],668.0,4.023.000,,"2,58%",2010
Palaos [+],39.0,18.000,,0,2010
Paraguay [+],14.0,5.668.000,,"0,73%",2010
Catar [+],148.0,1.715.000,,"4,64%",2010
Rumanía [+],85.0,20.199.059,,"-0,47%",2010
Serbia [+],82.0,7.251.549,,"-0,75%",2010
Rusia [+],8.0,142.856.536,,"0,66%",2010
Ruanda [+],380.0,10.000.000,,"3,09%",2010
Arabia Saudita [+],11.0,23.978.000,,"5,26%",2010
Islas Salomón [+],20.0,567.000,,"2,72%",2010
Seychelles [+],196.0,90.000,,"1,12%",2010
Sudán [+],16.0,40.134.000,,"2,60%",2010
Suecia [+],21.0,9.415.570,,"0,80%",2010
Singapur [+],7.131,5.077.000,,"1,78%",2010
Eslovenia [+],101.0,2.050.189,,"0,16%",2010
Eslovaquia [+],110.0,5.392.446,,"0,04%",2010
Sierra Leona [+],86.0,6.223.000,,"2,76%",2010
San Marino [+],531.0,31.863,,"2,78%",2010
Senegal [+],64.0,12.678.000,,"2,78%",2010
Somalia [+],19.0,12.261.756,,"2,51%",2010
Surinam [+],3.0,536.000,,"1,52%",2010
Sudán del Sur [+],15.0,9.745.953,,"5,44%",2010
Santo Tomé y Príncipe [+],190.0,182.000,,"2,25%",2010
El Salvador [+],288.0,6.068.000,,"0,33%",2010
Siria [+],116.0,21.393.000,,"1,43%",2010
Eswatini [+],59.0,1.027.000,,"0,59%",2010
Chad [+],9.0,11.952.000,,"3,39%",2010
Togo [+],119.0,6.733.000,,"2,76%",2010
Tailandia [+],134.0,68.579.000,,"0,67%",2010
Tayikistán [+],54.0,7.642.000,,"2,26%",2010
Timor Oriental [+],72.0,1.072.000,,"2,49%",2010
Turkmenistán [+],11.0,5.268.000,,"1,68%",2010
Túnez [+],66.0,10.766.000,,"1,08%",2010
Tonga [+],137.0,103.000,,0,2010
Türkiye [+],94.0,73.722.988,,"1,60%",2010
Trinidad y Tobago [+],259.0,1.328.000,,"0,53%",2010
Tuvalu [+],333.0,10.000,,0,2010
Taiwan [+],644.0,23.162.000,,"0,18%",2010
Tanzania [+],45.0,42.857.000,,"2,34%",2010
Ucrania [+],76.0,45.598.179,,"-0,40%",2010
Uganda [+],126.0,30.521.000,,"3,29%",2010
Uruguay [+],19.0,3.397.000,,"0,56%",2010
Uzbekistán [+],63.0,28.001.000,,"1,70%",2010
San Vicente y las Granadinas [+],279.0,109.000,,0,2010
Venezuela [+],31.0,28.524.000,,"1,49%",2010
Viet Nam [+],266.0,87.968.000,,"1,01%",2010
Vanuatu [+],20.0,240.000,,"2,56%",2010
Samoa [+],65.0,186.000,,"1,09%",2010
Yemen [+],51.0,26.754.000,,"3,19%",2010
Sudáfrica [+],42.0,51.508.000,,"1,43%",2010
Zambia [+],19.0,13.966.000,,"3,53%",2010
Zimbabue [+],32.0,12.340.000,,"0,90%",2010
España [+],93.0,46.818.216,,"0,18%",2011
Alemania [+],225.0,80.327.900,,"0,13%",2011
Reino Unido [+],261.0,63.497.844,,"0,75%",2011
Francia [+],119.0,65.276.983,,"0,46%",2011
Italia [+],199.0,60.105.185,,"0,26%",2011
Portugal [+],115.0,10.558.950,,"-0,13%",2011
Estados Unidos [+],32.0,311.663.358,,"0,75%",2011
Japón [+],338.0,127.831.000,,"0,19%",2011
China [+],141.0,1.347.350.000,,"0,48%",2011
Andorra [+],148.0,69.772,,"-0,74%",2011
Emiratos Árabes Unidos [+],73.0,7.244.000,,"4,01%",2011
Afganistán [+],45.0,29.249.000,,"3,76%",2011
Antigua y Barbuda [+],195.0,86.000,,"1,18%",2011
Albania [+],101.0,2.903.008,,"-0,15%",2011
Armenia [+],110.0,3.274.285,,"0,36%",2011
Angola [+],19.0,24.218.000,,"3,96%",2011
Argentina [+],15.0,41.261.000,,"1,16%",2011
Austria [+],100.0,8.408.121,,"0,39%",2011
Australia [+],3.0,22.522.000,,"1,58%",2011
Azerbaiyán [+],107.0,9.235.085,,"1,36%",2011
Bosnia y Herzegovina [+],75.0,3.839.265,,"-0,10%",2011
Barbados [+],653.0,281.000,,"0,36%",2011
Bangladés [+],1.005,149.274.000,,"1,15%",2011
Bélgica [+],363.0,11.075.889,,"0,68%",2011
Burkina Faso [+],61.0,16.662.000,,"3,00%",2011
Bulgaria [+],66.0,7.327.224,,"-0,57%",2011
Baréin [+],1.558,1.195.000,,"-2,77%",2011
Burundi [+],349.0,9.718.000,,"3,65%",2011
Benin [+],88.0,10.094.000,,"3,03%",2011
Brunéi [+],68.0,393.000,,"1,55%",2011
Bolivia [+],9.0,10.349.000,,"1,64%",2011
Brasil [+],23.0,196.159.000,,"0,72%",2011
Bahamas [+],26.0,355.000,,"1,14%",2011
Bután [+],18.0,706.000,,"1,15%",2011
Botsuana [+],4.0,2.074.000,,"2,02%",2011
Bielorrusia [+],46.0,9.465.150,,"-0,17%",2011
Belice [+],14.0,328.000,,"1,86%",2011
Canadá [+],3.0,34.339.221,,"0,98%",2011
República Democrática del Congo [+],29.0,68.087.000,,"3,26%",2011
República Centroafricana [+],7.0,4.537.000,,"1,98%",2011
República del Congo [+],13.0,4.584.000,,"3,29%",2011
Suiza [+],193.0,7.954.662,,"1,07%",2011
Costa de Marfil [+],69.0,22.169.000,,"2,86%",2011
Chile [+],23.0,17.205.000,,"1,03%",2011
Camerún [+],43.0,20.232.000,,"2,87%",2011
Colombia [+],39.0,44.553.000,,"1,06%",2011
Costa Rica [+],90.0,4.613.000,,"1,30%",2011
Cuba [+],103.0,11.301.571,,"0,04%",2011
Cabo Verde [+],119.0,481.000,,"0,63%",2011
Chipre [+],93.0,862.011,,"2,65%",2011
Chequia [+],133.0,10.505.445,,"0,18%",2011
Yibuti [+],37.0,854.000,,"1,67%",2011
Dinamarca [+],130.0,5.580.516,,"0,36%",2011
Dominica [+],93.0,70.000,,"-1,41%",2011
República Dominicana [+],197.0,9.580.000,,"1,07%",2011
